Provinsi;Tanah Longsor;Banjir;Banjir Bandang;Gempa Bumi;Tsunami;Gelombang Pasang Laut;Angin Puyuh / Angin Puting Beliung / Topan;Gunung Meletus;Kebakaran Hutan;Kekeringan
ACEH;198;1435;81;493;2;106;108;1;43;173
SUMATERA UTARA;483;732;52;964;4;78;483;82;59;127
SUMATERA BARAT;222;342;65;364;0;57;248;0;18;43
RIAU;21;455;1;0;0;15;53;0;194;51
JAMBI;57;476;17;36;0;2;44;0;16;16
SUMATERA SELATAN;103;380;36;49;0;3;90;0;64;98
BENGKULU;81;171;15;66;0;14;17;0;4;19
LAMPUNG;70;328;23;47;0;35;158;0;11;30
KEP. BANGKA BELITUNG;1;59;0;0;0;17;77;0;14;0
KEP. RIAU;25;61;1;0;0;69;40;0;57;27
DKI JAKARTA;7;109;0;1;0;5;0;0;1;0
JAWA BARAT;1288;1193;100;601;0;91;412;0;76;442
JAWA TENGAH;1190;1249;69;114;0;128;619;26;49;278
DI YOGYAKARTA;59;50;1;52;0;12;84;3;4;31
JAWA TIMUR;511;1176;96;2449;4;87;486;74;50;156
BANTEN;96;419;41;158;1;39;107;0;8;77
BALI;105;39;5;79;0;34;46;0;8;2
NUSA TENGGARA BARAT;44;187;54;100;0;44;65;0;19;88
NUSA TENGGARA TIMUR;610;570;151;246;0;218;1219;54;144;454
KALIMANTAN BARAT;66;864;22;0;0;48;53;0;135;75
KALIMANTAN TENGAH;24;735;9;0;0;12;16;0;66;37
KALIMANTAN SELATAN;74;929;31;0;0;30;70;0;60;35
KALIMANTAN TIMUR;74;343;5;6;0;9;26;0;52;32
KALIMANTAN UTARA;42;200;0;18;0;3;3;0;13;6
SULAWESI UTARA;218;288;37;349;0;95;107;0;25;24
SULAWESI TENGAH;133;567;57;556;0;117;85;0;29;42
SULAWESI SELATAN;251;620;52;272;0;39;293;0;22;60
SULAWESI TENGGARA;46;240;10;43;0;58;104;0;12;16
GORONTALO;65;259;24;95;0;37;34;0;9;57
SULAWESI BARAT;144;125;7;498;0;35;26;0;8;22
MALUKU;58;153;2;106;0;165;54;0;26;26
MALUKU UTARA;80;270;20;589;0;124;42;1;16;12
PAPUA BARAT;72;138;0;318;0;30;6;0;12;5
PAPUA;146;204;9;57;0;57;11;0;14;9
