work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
2022,MI,FT,Machine Learning Engineer,130000,USD,130000,United States,0,United States,M
2022,MI,FT,Machine Learning Engineer,90000,USD,90000,United States,0,United States,M
2022,MI,FT,Data Scientist,120000,USD,120000,United States,100,United States,M
2022,MI,FT,Data Scientist,100000,USD,100000,United States,100,United States,M
2022,MI,FT,Data Scientist,85000,USD,85000,United States,100,United States,M
2022,MI,FT,Data Scientist,78000,USD,78000,United States,100,United States,M
2022,SE,FT,Data Engineer,161000,USD,161000,United States,100,United States,M
2022,SE,FT,Data Engineer,110000,USD,110000,United States,100,United States,M
2022,SE,FT,Data Scientist,136000,USD,136000,United States,100,United States,M
2022,SE,FT,Data Scientist,104000,USD,104000,United States,100,United States,M
2022,SE,FT,Data Scientist,45000,EUR,47379,Spain,0,Spain,M
2022,SE,FT,Data Scientist,36000,EUR,37903,Spain,0,Spain,M
2022,EX,FT,Head of Data,205000,USD,205000,United States,0,United States,M
2022,EX,FT,Head of Data,160000,USD,160000,United States,0,United States,M
2022,SE,FT,Data Analyst,169000,USD,169000,United States,0,United States,M
2022,SE,FT,Data Analyst,110600,USD,110600,United States,0,United States,M
2022,EN,FT,Data Engineer,50000,GBP,61927,United Kingdom,100,United Kingdom,M
2022,EN,FT,Data Engineer,40000,GBP,49542,United Kingdom,100,United Kingdom,M
2022,SE,FT,Data Engineer,160000,USD,160000,United States,0,United States,M
2022,SE,FT,Data Engineer,130000,USD,130000,United States,0,United States,M
2022,SE,FT,Data Scientist,245000,USD,245000,United States,0,United States,M
2022,SE,FT,Data Scientist,180000,USD,180000,United States,0,United States,M
2022,SE,FT,Data Engineer,135000,USD,135000,United States,0,United States,M
2022,SE,FT,Data Engineer,100000,USD,100000,United States,0,United States,M
2022,SE,FT,Data Engineer,220000,USD,220000,United States,0,United States,M
2022,SE,FT,Data Engineer,150000,USD,150000,United States,0,United States,M
2022,SE,FT,Data Scientist,198440,USD,198440,United States,0,United States,L
2022,SE,FT,Data Scientist,144000,USD,144000,United States,0,United States,L
2022,SE,FT,Data Engineer,240000,USD,240000,United States,0,United States,M
2022,SE,FT,Data Engineer,170000,USD,170000,United States,0,United States,M
2022,SE,FT,Data Scientist,198440,USD,198440,United States,0,United States,M
2022,SE,FT,Data Scientist,144000,USD,144000,United States,0,United States,M
2022,MI,FT,Data Analyst,150000,USD,150000,United States,100,United States,M
2022,MI,FT,Data Analyst,100000,USD,100000,United States,100,United States,M
2022,SE,FT,Data Analyst,120000,USD,120000,United States,0,United States,M
2022,SE,FT,Data Analyst,95000,USD,95000,United States,0,United States,M
2022,MI,FT,Data Scientist,47000,GBP,58211,United Kingdom,50,United Kingdom,M
2022,EN,FT,Data Analyst,64000,USD,64000,United States,100,United States,L
2022,EN,FT,Data Scientist,38000,EUR,40009,France,50,France,L
2022,SE,FT,Machine Learning Engineer,187200,USD,187200,Canada,100,Canada,M
2022,SE,FT,Machine Learning Engineer,116100,USD,116100,Canada,100,Canada,M
2022,SE,FT,Data Analyst,150000,USD,150000,United States,0,United States,M
